Name;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer
LEGO Pirates of the Caribbean: The Video Game;X360;2011;Action;Disney Interactive Studios;540000;390000;0;90000;1030000;7.3;54;7.0;31;Traveller's Tales
Tom Clancy's Ghost Recon Advanced Warfighter 2;PS3;2007;Shooter;Ubisoft;340000;480000;20000;190000;1030000;8.4;29;8.1;41;Red Storm Entertainment, Ubisoft Paris
Super Princess Peach;DS;2005;Platform;Nintendo;700000;50000;210000;70000;1030000;7.5;48;7.6;33;TOSE
Guinness World Records: The Videogame;Wii;2008;Action;Warner Bros. Interactive Entertainment;460000;470000;0;110000;1030000;6.7;12;7.0;8;TT Fusion
NCAA March Madness 2004;PS2;2003;Sports;Electronic Arts;500000;390000;0;130000;1030000;8.2;16;8.8;12;NuFX
The Legend of Zelda: Twilight Princess HD;WiiU;2016;Action;Nintendo;560000;300000;80000;90000;1030000;8.6;74;8.4;329;Tantalus Interactive, Tantatus, Nintendo
LEGO Indiana Jones: The Original Adventures;PS3;2008;Action;Activision;440000;420000;0;170000;1030000;7.7;36;7.7;30;Traveller's Tales
Tomb Raider;PC;1996;Action;Eidos Interactive;960000;70000;0;0;1030000;8.6;18;8.5;3552;Crystal Dynamics, Nixxes Software
Street Fighter Alpha 3;PS;1998;Fighting;Virgin Interactive;380000;120000;510000;20000;1030000;9.3;12;8.5;46;Capcom
MySims Agents;Wii;2009;Adventure;Electronic Arts;610000;320000;0;100000;1030000;7.8;28;8.6;28;Electronic Arts
MotorStorm: Arctic Edge;PSP;2009;Racing;Sony Computer Entertainment;160000;570000;0;290000;1020000;7.9;58;8.8;39;Bigbig Studios
FIFA Soccer 08;Wii;2007;Sports;Electronic Arts;320000;590000;10000;110000;1020000;6.5;13;6.1;26;EA Canada
Tiger Woods PGA Tour 08;Wii;2007;Sports;Electronic Arts;930000;10000;0;80000;1020000;7.2;24;7.0;22;EA Salt Lake
Dragon Ball Z: Budokai Tenkaichi 3;Wii;2007;Fighting;Atari;320000;360000;260000;90000;1020000;7.2;27;8.4;61;Spike, Namco Bandai Games
Shrek 2;GC;2004;Platform;Activision;730000;260000;10000;30000;1020000;7.0;25;6.4;14;Luxoflux, Inc.
NBA 2K17;XOne;2016;Sports;Take-Two Interactive;860000;60000;0;110000;1020000;9.0;17;6.2;91;Visual Concepts
Tom Clancy's Ghost Recon Advanced Warfighter 2;X360;2007;Shooter;Ubisoft;870000;50000;20000;80000;1020000;8.6;58;8.1;89;Red Storm Entertainment, Ubisoft Paris
Sonic Unleashed;PS3;2008;Platform;Sega;560000;320000;10000;140000;1020000;5.4;24;7.9;130;Sonic Team
Disney Universe;Wii;2011;Action;Disney Interactive Studios;640000;280000;0;100000;1020000;6.1;11;6.0;5;Eurocom Entertainment Software
Dance on Broadway;Wii;2010;Misc;Ubisoft;250000;650000;0;120000;1020000;4.8;6;3.3;4;Longtail Studios
LEGO Indiana Jones 2: The Adventure Continues;X360;2009;Action;Activision;620000;310000;0;90000;1020000;7.1;41;7.4;25;Traveller's Tales
Bulletstorm;X360;2011;Shooter;Electronic Arts;610000;320000;10000;80000;1020000;8.4;83;7.6;439;Epic Games, People Can Fly
Skylanders SWAP Force;PS3;2013;Platform;Activision;430000;420000;0;170000;1020000;8.3;31;5.3;33;Vicarious Visions
Madden NFL 07;XB;2006;Sports;Electronic Arts;970000;30000;0;30000;1020000;8.3;27;8.7;6;EA Tiburon
Sonic Generations;3DS;2011;Platform;Sega;440000;470000;10000;90000;1020000;6.6;29;6.9;108;Sega, Dimps Corporation
Rock Band 2;Wii;2008;Misc;MTV Games;930000;10000;0;80000;1020000;9.2;10;7.7;45;Harmonix Music Systems
Harry Potter and the Prisoner of Azkaban;PS2;2004;Action;Electronic Arts;500000;390000;0;130000;1020000;7.0;29;8.7;29;EA Games
Pokemon Conquest;DS;2012;Role-Playing;Nintendo;560000;50000;370000;40000;1020000;8.0;40;8.2;89;Koei
Wall-E;Wii;2008;Platform;THQ;510000;400000;0;110000;1010000;5.1;18;3.6;8;Heavy Iron Studios
Naruto: Clash of Ninja Revolution;Wii;2007;Fighting;Tomy Corporation;440000;460000;0;110000;1010000;7.4;23;8.0;27;8ing/Raizing
Ace Combat 6: Fires of Liberation;X360;2007;Simulation;Atari;690000;40000;220000;60000;1010000;8.0;54;7.9;101;Project Aces
The Simpsons Game;Wii;2007;Action;Electronic Arts;450000;460000;0;110000;1010000;6.4;19;6.1;38;Electronic Arts, Rebellion
Ninja Gaiden II;X360;2008;Action;Tecmo Koei;650000;220000;50000;100000;1010000;8.1;74;8.0;302;Team Ninja, Tecmo
Assassin's Creed: Rogue;X360;2014;Action;Ubisoft;580000;340000;0;90000;1010000;7.2;32;7.3;318;Ubisoft
Rayman Legends;PS4;2014;Platform;Ubisoft;220000;640000;0;160000;1010000;9.0;16;8.5;525;Ubisoft Montpellier
Prince of Persia;X360;2008;Action;Ubisoft;540000;340000;20000;100000;1010000;8.1;73;7.0;189;Ubisoft Montreal
ZombiU;WiiU;2012;Action;Ubisoft;520000;360000;50000;80000;1010000;7.7;70;7.7;758;Ubisoft Montpellier
Pokken Tournament;WiiU;2016;Fighting;Namco Bandai Games;500000;260000;170000;80000;1010000;7.6;74;8.0;273;Bandai Namco Games
Ford Racing 2;PS2;2003;Racing;Empire Interactive;490000;380000;0;130000;1000000;5.1;5;8.0;8;Razorworks Studios
NERF N-Strike Elite;Wii;2009;Shooter;Electronic Arts;930000;0;0;70000;1000000;6.7;12;4.5;6;EA Salt Lake
God of War: Ghost of Sparta;PSP;2010;Action;Sony Computer Entertainment;410000;350000;30000;210000;1000000;8.6;73;8.4;255;Ready at Dawn
SoulCalibur II;XB;2003;Fighting;Namco Bandai Games;780000;180000;30000;0;1000000;9.2;39;8.9;54;Namco
Dynasty Warriors 3: Xtreme Legends;PS2;2002;Action;Tecmo Koei;130000;100000;740000;30000;1000000;7.2;16;9.3;54;Omega Force
Rayman Origins;PS3;2011;Platform;Ubisoft;330000;490000;10000;170000;1000000;8.7;43;8.4;238;UBlart Montpellier
NFL Fever 2002;XB;2000;Sports;Microsoft Game Studios;740000;210000;0;40000;990000;7.9;24;8.5;10;Microsoft Game Studios
Just Dance 2014;X360;2013;Misc;Ubisoft;720000;170000;0;100000;990000;7.9;16;7.8;33;Ubisoft
NCAA Football 12;X360;2011;Sports;Electronic Arts;940000;0;0;60000;990000;8.2;25;6.6;49;EA Sports
UFC Undisputed 3;X360;2012;Action;THQ;720000;200000;0;80000;990000;8.5;60;7.6;88;Yuke's
Kirby: Mass Attack;DS;2011;Platform;Nintendo;480000;60000;410000;50000;990000;8.3;46;8.6;55;HAL Labs
Haze;PS3;2008;Shooter;Ubisoft;490000;330000;20000;150000;990000;5.5;65;6.5;294;Free Radical Design
Oddworld: Abe's Exoddus;PS;1998;Platform;GT Interactive;550000;380000;0;60000;990000;8.8;13;9.1;69;Oddworld Inhabitants
The Bouncer;PS2;2000;Action;Sony Computer Entertainment;300000;230000;380000;80000;990000;6.6;20;8.0;35;DreamFactory
DiRT 2;PS3;2009;Racing;Codemasters;270000;520000;0;190000;990000;8.7;63;8.2;94;Codemasters
Guitar Hero: Aerosmith;PS3;2008;Misc;Activision;730000;150000;0;110000;990000;7.0;39;5.0;26;Neversoft Entertainment
Shadow The Hedgehog;GC;2005;Platform;Sega;760000;200000;0;30000;990000;5.1;22;6.6;120;Sonic Team
EyePet;PS3;2009;Simulation;Sony Computer Entertainment;350000;520000;40000;80000;990000;7.0;35;8.2;20;SCEE London Studio
Apollo Justice: Ace Attorney;DS;2007;Adventure;Capcom;280000;40000;640000;30000;990000;7.8;48;8.1;84;Capcom
Ace Combat X: Skies of Deception;PSP;2006;Simulation;Namco Bandai Games;370000;300000;120000;190000;990000;7.5;26;8.3;30;Project Aces
Dark Souls;X360;2011;Role-Playing;Namco Bandai Games;640000;270000;0;90000;990000;8.9;66;8.4;1106;From Software
Midnight Club: LA Remix;PSP;2008;Racing;Take-Two Interactive;520000;270000;0;190000;980000;7.9;26;8.7;43;Rockstar London
Pro Evolution Soccer 2008;PSP;2008;Sports;Konami Digital Entertainment;20000;530000;190000;250000;980000;8.0;17;6.8;11;Konami
FIFA Soccer 10;Wii;2009;Sports;Electronic Arts;230000;640000;0;110000;980000;7.5;21;6.2;17;EA Sports
Tales of Graces f;PS3;2010;Role-Playing;Namco Bandai Games;280000;180000;450000;70000;980000;7.7;55;8.2;336;Namco Bandai Games
Fallout 3;PC;2008;Role-Playing;Bethesda Softworks;20000;880000;0;80000;980000;9.1;48;7.9;3450;Bethesda Game Studios
Mario Party Advance;GBA;2005;Misc;Nintendo;500000;190000;280000;20000;980000;5.4;27;5.4;34;Hudson
Zoo Tycoon DS;DS;2005;Strategy;THQ;860000;30000;10000;80000;980000;4.4;19;6.6;25;Altron
WWE SmackDown vs Raw 2008;Wii;2007;Fighting;THQ;380000;500000;0;110000;980000;5.9;13;5.9;18;Yuke's
Dead Space 3;X360;2013;Action;Electronic Arts;640000;260000;0;80000;980000;7.8;68;6.4;694;Visceral Games
Tom Clancy's Splinter Cell: Blacklist;X360;2013;Action;Ubisoft;570000;320000;10000;80000;980000;8.2;58;7.5;383;Ubisoft Toronto
NBA 2K10;X360;2009;Sports;Take-Two Interactive;880000;20000;0;80000;970000;8.2;46;7.6;34;Visual Concepts
NCAA Football 06;XB;2005;Sports;Electronic Arts;730000;210000;0;30000;970000;8.7;38;8.3;27;EA Sports
Grand Theft Auto: San Andreas;PC;2005;Action;Take-Two Interactive;0;930000;0;40000;970000;9.3;47;8.9;1841;Rockstar North
Madden NFL 08;PS3;2007;Sports;Electronic Arts;890000;0;0;80000;970000;8.1;31;5.3;33;EA Tiburon
Fire Emblem;GBA;2003;Strategy;Nintendo;490000;180000;290000;10000;970000;8.8;31;9.2;144;Intelligent Systems
Brutal Legend;X360;2009;Action;Electronic Arts;620000;260000;0;90000;970000;8.2;88;8.0;268;Double Fine Productions
Disney Infinity;PS3;2013;Action;Disney Interactive Studios;490000;320000;0;160000;970000;7.5;21;5.9;47;Avalanche Software
NHL 2004;PS2;2003;Sports;Electronic Arts;470000;370000;0;120000;970000;8.5;19;7.6;53;EA Sports
Grand Theft Auto: Vice City Stories;PS2;2007;Action;Take-Two Interactive;780000;30000;30000;130000;970000;7.5;37;7.9;67;Rockstar Leeds
FIFA Soccer 2005;XB;2004;Sports;Electronic Arts;330000;600000;0;40000;970000;8.1;34;8.7;23;EA Canada
Mass Effect 3;PC;2012;Role-Playing;Electronic Arts;400000;440000;0;120000;970000;8.9;23;5.5;5926;BioWare
Cars;DS;2006;Racing;THQ;850000;40000;0;70000;970000;5.4;17;2.1;11;Helixe
Band Hero;Wii;2009;Misc;Activision;590000;290000;0;90000;970000;7.9;20;6.6;15;Vicarious Visions
Skylanders: Spyro's Adventure;X360;2011;Action;Activision;530000;340000;0;100000;970000;7.8;35;5.2;53;Toys for Bob
LEGO Star Wars II: The Original Trilogy;GC;2006;Action;LucasArts;750000;190000;0;30000;970000;8.4;25;9.1;16;Traveller's Tales
Medal of Honor: Underground;PS;2000;Shooter;Electronic Arts;540000;370000;0;60000;970000;8.6;16;9.0;44;Dreamworks Interactive
Dark Cloud 2;PS2;2002;Role-Playing;Sony Computer Entertainment;380000;250000;260000;70000;960000;8.7;41;9.1;174;Level 5
Far Cry 3;PC;2012;Shooter;Ubisoft;220000;620000;0;120000;960000;8.8;43;8.2;3183;Ubisoft Montreal
Evolve;PS4;2015;Shooter;Take-Two Interactive;360000;410000;50000;150000;960000;7.6;46;4.3;894;Turtle Rock Studios
Dead Space 3;PS3;2013;Action;Electronic Arts;440000;360000;0;160000;960000;7.6;37;6.4;522;Visceral Games
NHL 2001;PS2;2000;Sports;Electronic Arts;470000;370000;0;120000;960000;8.5;22;8.1;9;EA Sports
Farming Simulator 2013;PC;2012;Simulation;Focus Home Interactive;0;810000;0;150000;960000;6.5;12;7.5;111;Giants Software
Guitar Hero: Warriors of Rock;Wii;2010;Misc;Activision;470000;400000;0;90000;960000;7.7;26;7.5;17;Vicarious Visions, Neversoft Entertainment
de Blob;Wii;2008;Platform;THQ;490000;370000;0;100000;960000;8.2;48;8.6;73;Blue Tongue Entertainment
Shinobi;PS2;2002;Platform;Sony Computer Entertainment;360000;280000;220000;90000;960000;7.1;33;7.9;43;Overworks
Mortal Kombat: Deadly Alliance;XB;2002;Fighting;Midway Games;770000;150000;0;40000;960000;8.1;27;8.4;24;Midway
The Witcher 2: Assassins of Kings;PC;2011;Action;Namco Bandai Games;250000;560000;0;140000;960000;8.8;76;8.5;4378;CD Projekt Red Studio
Sniper Elite V2;PS3;2012;Shooter;505 Games;380000;380000;60000;140000;960000;7.0;21;6.9;92;Rebellion
ESPN NBA 2K5;XB;2004;Sports;Global Star;880000;40000;0;40000;950000;8.5;28;8.7;22;Visual Concepts
Gangs of London;PSP;2006;Adventure;Sony Computer Entertainment;300000;430000;0;220000;950000;5.2;47;6.7;18;SCEE London Studio
Mario Tennis Open;3DS;2012;Sports;Nintendo;260000;290000;340000;50000;950000;6.9;58;6.9;110;Camelot Software Planning
PilotWings Resort;3DS;2011;Simulation;Nintendo;400000;360000;130000;70000;950000;7.1;64;7.4;88;Monster Games Inc.
World Championship Poker;PS2;2004;Misc;Play It;800000;30000;0;130000;950000;6.0;8;7.7;11;Coresoft
My Weight Loss Coach;DS;2008;Sports;Ubisoft;300000;540000;0;110000;950000;6.3;4;7.6;7;Ubisoft Montreal
Tom Clancy's Splinter Cell: Chaos Theory;PS2;2005;Action;Ubisoft;360000;450000;0;140000;950000;8.7;29;8.6;53;Ubisoft Montreal
Sonic Unleashed;X360;2008;Platform;Sega;540000;320000;0;90000;950000;6.0;50;7.8;238;Sonic Team
SpongeBob SquarePants: Battle for Bikini Bottom;GC;2003;Platform;THQ;740000;190000;0;30000;950000;7.1;10;8.6;34;Heavy Iron Studios
PlayStation All-Stars Battle Royale;PS3;2012;Action;Sony Computer Entertainment;500000;270000;40000;150000;950000;7.4;69;7.3;540;SuperBot Entertainment
Pro Evolution Soccer 2014;PS3;2013;Action;Konami Digital Entertainment;30000;410000;510000;0;950000;7.8;39;4.1;303;Konami
Tom Clancy's Ghost Recon: Future Soldier;PS3;2012;Shooter;Ubisoft;410000;320000;90000;120000;950000;7.9;18;6.9;156;Ubisoft Paris
Kessen;PS2;2000;Strategy;Electronic Arts;270000;210000;410000;70000;950000;7.5;20;8.4;12;Koei
Driver: San Francisco;PS3;2011;Racing;Ubisoft;240000;520000;10000;180000;950000;7.9;53;7.7;114;Ubisoft Reflections
Army of Two: The 40th Day;X360;2010;Shooter;Electronic Arts;620000;240000;0;90000;950000;7.3;79;7.3;126;EA Montreal
Lost Planet 2;PS3;2010;Shooter;Capcom;290000;330000;200000;130000;950000;6.8;56;6.9;62;Capcom
LEGO Pirates of the Caribbean: The Video Game;PS3;2011;Action;Disney Interactive Studios;360000;430000;0;160000;950000;7.3;42;7.1;34;Traveller's Tales
Killzone;PS2;2004;Shooter;Sony Computer Entertainment;790000;30000;0;130000;940000;7.0;67;7.4;254;Guerrilla
The SpongeBob SquarePants Movie;GC;2004;Platform;THQ;730000;190000;0;30000;940000;7.3;9;7.8;13;Heavy Iron Studios
Star Fox 64 3D;3DS;2011;Shooter;Nintendo;480000;270000;130000;60000;940000;8.1;65;8.2;231;Nintendo
Castlevania: Lament of Innocence;PS2;2003;Action;Konami Digital Entertainment;460000;360000;0;120000;940000;7.9;45;8.4;74;KCET
Tom Clancy's Splinter Cell: Blacklist;PS3;2013;Action;Ubisoft;340000;390000;60000;150000;940000;8.4;27;7.7;314;Ubisoft Toronto
Skylanders: Spyro's Adventure;PS3;2011;Action;Activision;390000;390000;0;160000;940000;7.7;18;4.8;42;Toys for Bob
Phantasy Star Portable;PSP;2008;Role-Playing;Sega;190000;60000;630000;50000;940000;6.4;38;7.8;19;Alfa System
WWE SmackDown vs. Raw 2009;PS3;2008;Fighting;THQ;510000;300000;10000;120000;940000;7.8;37;7.0;49;Yuke's
NCAA Football 10;X360;2009;Sports;Electronic Arts;870000;0;0;70000;940000;8.3;26;6.7;37;EA Tiburon
Brutal Legend;PS3;2009;Action;Electronic Arts;540000;270000;0;130000;940000;8.3;61;7.6;162;Double Fine Productions
Tony Hawk: RIDE;Wii;2009;Sports;Activision;690000;170000;0;80000;940000;4.7;15;4.5;21;Buzz Monkey
Bully;PS2;2006;Action;Take-Two Interactive;750000;30000;40000;120000;940000;8.7;69;9.1;293;Rockstar Vancouver
Prince of Persia: The Sands of Time;XB;2003;Action;Ubisoft;570000;330000;0;40000;940000;9.2;41;7.8;72;Ubisoft
MLB 06: The Show;PS2;2006;Sports;Sony Computer Entertainment;780000;30000;0;130000;940000;8.3;30;8.9;31;SCEA San Diego Studios
NHL 2003;PS2;2002;Sports;Electronic Arts;460000;360000;0;120000;930000;7.9;20;6.8;18;EA Sports
Naruto Shippuden: Ultimate Ninja Storm 3;PS3;2013;Fighting;Namco Bandai Games;320000;320000;150000;150000;930000;7.7;32;7.9;187;CyberConnect2
EA Sports UFC 2;PS4;2016;Sports;Electronic Arts;290000;490000;0;150000;930000;7.9;38;6.2;157;EA Sports
The Sims 2;DS;2005;Simulation;Electronic Arts;810000;50000;0;70000;930000;7.0;13;6.1;24;Griptonite Games
Tony Hawk's Pro Skater 4;XB;2002;Sports;Activision;590000;300000;0;40000;930000;9.0;25;8.5;21;Neversoft Entertainment
Dragon Age: Inquisition;XOne;2014;Role-Playing;Electronic Arts;560000;280000;0;90000;930000;8.5;28;6.9;703;BioWare
White Knight Chronicles: International Edition;PS3;2008;Role-Playing;Sony Computer Entertainment;330000;160000;360000;80000;930000;6.4;77;7.5;213;Level 5
SingStar Abba;PS3;2008;Misc;Sony Computer Entertainment;270000;500000;0;160000;930000;7.0;26;5.5;4;SCEE London Studio
Kirby: Planet Robobot;3DS;2016;Action;Nintendo;280000;140000;470000;40000;930000;8.1;71;8.7;87;HAL Labs
Guitar Hero: Metallica;Wii;2009;Misc;Activision;400000;430000;0;100000;930000;8.5;20;8.6;17;Neversoft Entertainment
Teenage Mutant Ninja Turtles;GBA;2003;Action;Unknown;670000;250000;0;20000;930000;7.1;16;8.8;8;Konami
Bayonetta;X360;2009;Action;Sega;510000;250000;90000;80000;930000;9.0;86;8.0;597;PlatinumGames
MLB 07: The Show;PS2;2007;Sports;Sony Computer Entertainment;770000;30000;0;130000;930000;8.3;25;8.6;19;SCEA
Cars;GC;2006;Racing;THQ;720000;190000;0;30000;930000;7.1;21;7.0;5;Rainbow Studios
Build-A-Bear Workshop;DS;2007;Simulation;Game Factory;850000;10000;0;70000;930000;6.1;11;4.8;5;Neko Entertainment
Kingdom Hearts Re:coded;DS;2010;Role-Playing;Square Enix;530000;90000;270000;50000;930000;6.6;58;7.0;76;Square Enix, h.a.n.d. Inc.
Operation Flashpoint: Dragon Rising;X360;2009;Shooter;Codemasters;360000;450000;20000;100000;930000;7.7;47;7.8;112;Codemasters
Lego Batman 3: Beyond Gotham;PS4;2014;Action;Warner Bros. Interactive Entertainment;370000;400000;0;150000;930000;7.3;43;7.1;75;TT Games
Wipeout: In The Zone;X360;2011;Misc;Activision;870000;0;0;60000;930000;3.9;5;5.6;8;Activision
Brothers in Arms: Hell's Highway;PS3;2008;Shooter;Ubisoft;440000;340000;0;150000;930000;7.6;48;8.0;70;Gearbox Software
The LEGO Movie Videogame;PS3;2014;Action;Warner Bros. Interactive Entertainment;330000;430000;20000;150000;930000;8.0;5;6.8;12;TT Games
Assassin's Creed III;PC;2012;Action;Ubisoft;280000;530000;0;120000;930000;8.0;21;6.2;1489;Ubisoft
Borderlands 2;PC;2012;Shooter;Take-Two Interactive;420000;410000;0;100000;930000;8.9;38;8.2;2482;Gearbox Software
Teenage Mutant Ninja Turtles;PS2;2003;Action;Konami Digital Entertainment;450000;350000;0;120000;920000;5.9;29;8.7;31;KCE Studios
Disney Magical World;3DS;2013;Adventure;Nintendo;170000;200000;530000;30000;920000;7.1;27;7.5;21;h.a.n.d. Inc.
Top Gun: Combat Zones;PS2;2001;Simulation;Titus;450000;350000;0;120000;920000;6.3;17;3.3;9;Titus Software
NCAA Football 11;X360;2010;Sports;Electronic Arts;860000;0;0;60000;920000;8.6;29;7.1;70;EA Tiburon
007: The World is not Enough;PS;2000;Action;Electronic Arts;510000;350000;0;60000;920000;6.1;11;6.7;44;Black Ops Entertainment
Phoenix Wright: Ace Attorney;DS;2005;Adventure;Capcom;440000;50000;390000;50000;920000;8.1;53;9.2;203;Capcom
MLB 15: The Show;PS4;2015;Sports;Sony Computer Entertainment;680000;80000;0;170000;920000;8.0;44;7.8;190;SCEA San Diego Studios
South Park: The Stick of Truth;PS3;2014;Role-Playing;Ubisoft;430000;340000;0;160000;920000;8.5;31;8.5;575;Obsidian Entertainment
South Park: The Stick of Truth;X360;2014;Role-Playing;Ubisoft;580000;260000;0;90000;920000;8.2;33;8.4;363;Obsidian Entertainment
MLB 12: The Show;PS3;2012;Sports;Sony Computer Entertainment;860000;0;0;60000;920000;8.7;23;7.5;75;SCEA San Diego Studios
SpongeBob SquarePants: The Yellow Avenger;PSP;2006;Action;THQ;550000;210000;0;160000;920000;4.8;9;6.4;13;Tantalus Interactive
Dante's Inferno;X360;2010;Action;Electronic Arts;630000;200000;20000;70000;920000;7.3;71;7.7;224;Visceral Games
Wii Play: Motion;Wii;2011;Misc;Nintendo;230000;420000;180000;90000;920000;6.0;34;6.1;16;Nintendo
WWE SmackDown vs. Raw 2009;X360;2008;Fighting;THQ;580000;260000;0;80000;920000;7.9;47;7.1;34;Yuke's
Sonic Riders;GC;2006;Racing;Sega;710000;180000;0;30000;920000;5.9;32;8.0;46;Sonic Team
Blue Dragon;X360;2006;Role-Playing;Microsoft Game Studios;300000;320000;210000;80000;920000;7.9;56;7.8;161;Mistwalker, Artoon
Harvest Moon 3D: A New Beginning;3DS;2012;Action;Marvelous Entertainment;410000;170000;300000;50000;910000;7.4;21;8.2;62;Marvelous AQL
Kung Fu Panda;Wii;2008;Action;Activision;500000;320000;0;90000;910000;7.0;20;6.7;7;Xpec
EA Sports Active 2;PS3;2010;Sports;Electronic Arts;520000;270000;0;120000;910000;7.8;20;5.4;14;EA Canada
Knockout Kings 2002;PS2;2002;Sports;Electronic Arts;450000;350000;0;120000;910000;7.6;23;8.1;12;Electronic Arts
Tom Clancy's EndWar;X360;2008;Strategy;Ubisoft;580000;240000;10000;90000;910000;7.7;63;7.2;53;Ubisoft Shanghai
Tokyo Xtreme Racer 3;PS2;2003;Racing;Genki;350000;270000;210000;90000;910000;6.3;15;8.9;23;Genki
Xenoblade Chronicles;Wii;2010;Role-Playing;Nintendo;430000;250000;160000;70000;910000;9.2;59;8.9;950;Monolith Soft
Colin McRae Rally 2.0;PS;2000;Racing;Codemasters;20000;800000;20000;70000;910000;9.0;13;8.7;31;Codemasters
Dynasty Warriors 7;PS3;2011;Action;Tecmo Koei;250000;130000;460000;60000;910000;5.7;25;7.4;57;Omega Force
NBA 2K14;XOne;2013;Sports;Take-Two Interactive;700000;110000;0;90000;910000;8.6;15;5.7;183;Visual Concepts
SSX;PS3;2012;Sports;Electronic Arts;350000;410000;20000;140000;910000;8.1;38;6.8;110;EA Canada
Sonic Riders: Zero Gravity;Wii;2008;Racing;Sega;480000;320000;20000;90000;910000;5.6;26;8.1;57;Sonic Team
Sonic Mega Collection Plus;XB;2004;Misc;Sega;610000;260000;0;40000;910000;7.5;20;7.9;12;Sonic Team
Operation Flashpoint: Dragon Rising;PS3;2009;Shooter;Codemasters;230000;460000;50000;170000;910000;7.6;42;6.5;53;Codemasters
Tiger Woods PGA Tour 2002;PS2;2002;Sports;Electronic Arts;440000;350000;0;120000;900000;8.0;23;7.6;5;EA Sports
Lost Odyssey;X360;2007;Role-Playing;Microsoft Game Studios;450000;260000;110000;80000;900000;7.8;68;8.3;432;Mistwalker
Street Fighter V;PS4;2016;Fighting;Capcom;400000;280000;80000;140000;900000;7.7;80;3.4;1221;Capcom
Just Cause 3;XOne;2015;Action;Square Enix;440000;390000;0;80000;900000;7.1;24;7.0;186;Avalanche Studios
MLB 2005;PS2;2004;Sports;Sony Computer Entertainment;440000;350000;0;120000;900000;7.8;36;7.6;9;989 Sports
Marvel: Ultimate Alliance 2;X360;2009;Role-Playing;Activision;680000;150000;0;80000;900000;7.3;75;7.3;82;Vicarious Visions
Burnout Revenge;PS2;2005;Racing;Electronic Arts;750000;30000;0;120000;900000;9.0;52;8.8;114;Criterion Games
Crysis 3;X360;2013;Shooter;Electronic Arts;510000;310000;10000;80000;900000;7.6;45;6.7;344;Crytek
The Witcher 2: Assassins of Kings;X360;2012;Action;Namco Bandai Games;480000;320000;20000;80000;900000;8.8;82;8.3;818;CD Projekt Red Studio
Homefront;PS3;2011;Shooter;THQ;320000;390000;40000;150000;900000;7.0;60;5.7;174;Kaos Studios
LEGO Jurassic World;PS4;2015;Action;Warner Bros. Interactive Entertainment;320000;420000;20000;140000;900000;7.0;46;7.0;80;TT Games
The Elder Scrolls Online;PC;2014;Role-Playing;Bethesda Softworks;320000;510000;0;70000;900000;7.1;64;5.7;2421;ZeniMax Media
Hot Shots Tennis;PS2;2006;Sports;Sony Computer Entertainment;170000;130000;550000;50000;900000;7.0;44;8.1;8;Clap Hanz
MX vs. ATV Reflex;PS3;2009;Racing;THQ;520000;250000;0;120000;900000;7.4;44;7.4;10;Rainbow Studios
Madden NFL 25;PS4;2013;Sports;Electronic Arts;630000;130000;0;150000;900000;7.4;13;5.2;118;EA Sports
Sonic Heroes;XB;2003;Platform;Sega;410000;430000;10000;50000;900000;7.3;28;7.6;34;Sonic Team
Spider-Man 3;PS2;2007;Platform;Activision;740000;30000;10000;120000;900000;5.0;14;6.5;28;Vicarious Visions
James Bond 007: Agent Under Fire;XB;2002;Shooter;Electronic Arts;650000;220000;0;30000;900000;7.1;16;7.5;15;Electronic Arts
LEGO Marvel Super Heroes;3DS;2013;Action;Warner Bros. Interactive Entertainment;420000;360000;40000;70000;900000;6.1;4;5.2;11;TT Games
DJ Hero;PS3;2009;Misc;Activision;420000;340000;0;140000;900000;8.6;53;7.8;49;FreeStyleGames
X-Men Legends;XB;2004;Role-Playing;Activision;620000;240000;0;40000;900000;8.2;63;8.5;14;Raven Software
NBA Live 2005;XB;2004;Sports;Electronic Arts;810000;50000;0;40000;900000;8.5;28;7.6;14;EA Canada
Harry Potter: Quidditch World Cup;PS2;2003;Sports;Electronic Arts;440000;340000;0;110000;900000;6.8;21;6.6;27;Magic Pockets
Blitz: The League;PS2;2005;Sports;Unknown;740000;30000;0;120000;890000;7.6;25;8.0;20;Midway
Castlevania: Circle of the Moon;GBA;2001;Platform;Konami Digital Entertainment;600000;220000;50000;20000;890000;9.1;22;8.5;59;KCEK
SOCOM 4: U.S. Navy SEALs;PS3;2011;Shooter;Sony Computer Entertainment;660000;110000;40000;80000;890000;6.7;64;6.3;121;Zipper Interactive
Tiger Woods PGA Tour 06;PS2;2005;Sports;Electronic Arts;740000;30000;0;120000;890000;8.3;29;6.2;16;EA Sports
FIFA Street;X360;2012;Sports;Electronic Arts;170000;620000;0;100000;890000;7.7;47;6.7;58;EA Sports
Classic NES Series: The Legend of Zelda;GBA;2004;Adventure;Nintendo;460000;170000;240000;20000;890000;8.4;16;8.6;58;Nintendo
Fire Emblem: The Sacred Stones;GBA;2004;Strategy;Nintendo;420000;160000;300000;20000;890000;8.5;38;9.1;132;Intelligent Systems
Killzone: Liberation;PSP;2006;Shooter;Sony Computer Entertainment;440000;270000;0;180000;890000;7.7;56;8.3;80;Guerrilla
